"","player_name","id","season","plays","exp_speed","avg_speed","avg_soe","forty","combine_season","twenty","ten","combine_weight","position","speed_score","speed_perc","speed_rank","adj_forty"
"40","Josh Norman",7649,2020,5,3.57163248062134,3.92626562675075,0.35463314612941,4.61,2012,2.72,1.59,197,"CB",0.0234010152284264,64.6,40,4.39
"41","Troy Hill",9881,2020,4,3.8482671380043,4.19945614806453,0.351189010060227,4.55,2015,2.66,1.6,182,"CB",0.025,64.5,41,4.39
"42","Troy Hill",93601,2020,4,3.8482671380043,4.19945614806453,0.351189010060227,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,64.5,42,4.4
"43","Levi Wallace",25445,2018,4,3.08475780487061,3.43375836550836,0.34900056063776,4.63,2018,2.57,1.67,179,"CB",0.0258659217877095,64.3,43,4.4
"44","Ken Crawley",11224,2018,4,2.91466221213341,3.26364837329742,0.348986161164013,4.43,2016,2.57,1.53,187,"CB",0.0236898395721925,64.3,44,4.4
"45","Julian Love",51081,2020,4,3.16501688957214,3.51142705234022,0.346410162768081,4.54,2019,2.65,1.64,195,"S",0.0232820512820513,64.2,45,4.4
"46","Marshon Lattimore",11766,2020,9,3.36421280437046,3.71030896619156,0.346096161821108,4.36,2017,2.53,1.48,193,"CB",0.0225906735751295,64.2,46,4.4
"47","Tre Herndon",50380,2020,4,2.57594740390777,2.92187890761786,0.345931503710082,4.55,2018,2.74,1.64,188,"CB",0.0242021276595745,64.2,47,4.4
"48","William Jackson III",10658,2020,9,3.69699427816603,4.03215805280454,0.335163774638516,4.37,2016,2.56,1.52,189,"CB",0.0231216931216931,63.6,48,4.4
"49","Kendall Sheffield",34105,2020,4,3.47807508707047,3.80688818104484,0.328813093974374,4.4954132231405,2019,2.63671171171171,1.58306306306306,193,"CB",NA,63.3,49,4.4
"50","Isaiah Oliver",50393,2018,11,2.72606472535567,3.05389669267619,0.327831967320525,4.5,2018,2.65,1.6,201,"CB",0.0223880597014925,63.3,50,4.41
"51","Tre Flowers",49059,2018,20,2.72205989956856,3.04367579972261,0.32161590015405,4.45,2018,2.58,1.53,202,"CB",0.022029702970297,63,51,4.41
